comment,sentiment
youre comparing tea clipper top speed optimal condition great wind carrying heavy cargo far far typical speed current cargo ship typical speed flettner rotor hard data support claim estimate installing flettner rotor would busy business world right problem synthetic fuel theyre cheap produce fossil fuel expensive produce electricity might become viable reach point almost constant excess renewable power cant base fuel industry period hour rarely day electric power cheap think shipping industry need completely redesign ship system autonomous multihull ship carrying little cargo compared largest ship use today smaller still large enough fit l lot sail also covered solar cell battery enough keep least decent speed many hour without sunlight favourable wind high initial cost negligible operating cost also bernoulli effect contributes little airfoil lift main reason wing designed minimise drag fact bernoulli effect isnt keep plane air proved fact airplane fly upside also material used wing sail sail symmetrical wing shaped sail doesnt solve reason sail replaced engine wind unreliability combined lot solar power decent battery capacity sail might become commercially viable,Positive
clipper ship way faster cargo ship clipper would faster favourable wind short time long journey freighter would kick as hare turtle comparison comparison disingenuous best powering freighter wind great idea made work,Positive
minute video wind power cant give shout kite sail,Neutral
good solution ferry electric engine swappable battery,Positive
european company light year ahead u,Neutral
green solar recyclable neither wind generator polluting produce green tech getting rid polluting trade especially considering entering solar minimum may need global warming,Positive
joke,Positive
hydrogen dead end,Negative
wind unreliable tugging row boat way go,Neutral
clipper ship faster modern container ship cutty sark fastest clipper ship top speed knot modern container ship ft long slow steam knot knot typical however last day great clipper modern container ship yes clipper fast faster wind reliable take look worldwide guide sailing cruiser want leave vietnam sail australia im planning couple year april thats check container ship schedule day year clearly im fan sail flexner system seem promising maybe theyll like sailing cruiser move around world annual pattern taking advantage prevailing wind tech still used ship route moving prevailing wind,Positive
interesting article rather computer heavy reliance,Positive
stupid get crane port unload ship,Negative
going happen,Neutral
one word one word paddle,Neutral
electrolysis water far carbon neutrality electricity come ye come fossil fuel many green advertising far away real world look like propaganda market creation dont get wrong love inovation love sailing ship honest,Positive
let translate word first explorer robber murderer steal good life peaceful people composite material material generally recyclable end land fill green technology making problem bigger adding technology improve thing make patent illegal everything open source produce recycle local reduce shipping minimum use recyclable material produce long lasting product,Negative
video pretty much copy think video aug,Positive
hybrid ship utilising technology make lot sense solar panel even series computer controlled flywheelsin addition sailsrotorswings process able contribute fill gap constraint posed weather,Neutral
hi matt clipper speciality ship tea trade like large racing yacht relatively small cargo capacity majority sailing cargo ship square rigger considerably greater capacity noticeably slower fact plied trade well th century recommend havent read already last time around cape horn william f stark,Positive
craziest thing low number container ship five thousand take year build one bigger one huge opportunity replace fleet emergency situation let industry sail unattended crazy replacethefleet,Negative
using nuclear like military ship submarine,Positive
biofuels opposite green degrade soil quality overly growing corn permanently destory top sm oil hundred thousand acre land thats top soil took billion year form destory planet near endless amount cheap highly concentrated crude oil used cost effect go energy based economy people think biofuels bad effect measured course decade middle period harmful effect still noticing much damage,Negative
obvious solution nuclear power would require small military presence every ship using pirate would need shot sight significant expense probably cheaper relying wind,Positive
nuclear would allow faster larger ship reducing cost transport lifecycle emission,Positive
great video always old ship may gone knot doesnt capacity large cargo ship cargo ship going slower speed use le fuel co help lower fuel cost,Positive
directly related would like see discussion heat pump could replace industrial steam boiler,Positive
scrivo italiano perché inglese sono ignorante come le capre immagino lincontro di due marinai uno del laltro del noi usiamo il vento per le nostre navi oh anche noi,Neutral
star trek novel read long back theyd converted shipping fleet sail also lesh rotor theyre gon na get mentioned time see,Positive
maybe get friendly whale pull cargo ship across ocean,Positive
building kite powered ship could kite turbulent air use reliable trade wind power,Neutral
dont say first europians made ship india since bcs,Neutral
detailed accurate discussion marine propulsion wind free know lot air foil design one aspect failed include reliability heavy weather personally seen large item welded ship ripped wave coming main deck dont forget nuclear bill gate financing research container sized liquid sodium reactor would life year perfect ship,Positive
reduced space cargo concern,Neutral
late,Neutral
wouldnt nuclear like sub better way go know there waist store long till someone find use,Positive
nuclear power already used military,Neutral
row boat say row boat future,Neutral
wind powered ship never future title episode,Neutral
wind free cargo ship concerned size ship smaller could still deliver cargo wind designer forget slot effect occurs overlapping sail,Positive
smrs go mainstream reach certain critical mass big ship use,Neutral
man made climate change one biggest hoax generation global freezing vostok ice core sample show carbon atmosphere eon ago net zero carbon excuse bring neo feudalism please stop promoting net zero garbage,Negative
nuke powered ship work aircraft carrier submarine tried n savannah year gone time technology moved since give look,Neutral
mean sail,Neutral
long time ago heard giant kite bow ship controlled computer havent heard anything tech long time,Neutral
worked design year ago way reducing drag hull reduce drag increase speed improve ozone hull last longer,Positive
nuclear ship today modular mini reactor isnt better option,Negative
wouldnt ammonia kill ocean wildlife,Positive
back future,Neutral
get fucking point already dont need watch fucking history minute,Neutral
could cut shipping emission tomorrow mandating cleaner fuel requirement bunker fuel leftover distillation used cheap,Negative
couldnt take cylindrical rotor sail attach electric generator making electric ship,Neutral
methanol carbon neutral release co burnt well release lot green house gas production wrong,Negative
rotor sail employed power generator propulsion system could ship use hybrid system rotor sail electric power plant,Neutral
laughable,Positive
may title much heavy lifting going win olympic gold,Positive
well done matt fair play,Positive
another sail type already use limited basis kite sail would useful youre traveling within degree downwind theyre use youre traveling abeam upwind yet another option would hire graduate united state navy nuclear power program year operation major mishap reactor,Positive
really amazing work,Positive
u navy answered question already specifically th september launching us enterprise answer hasnt changed year use nuclear small number massive vessel like maersk e line ship regulate absolute hell maintenance operation safety technology already old hat th th generation though unlikely u department defense would consider licensing anything never rd gen mobile reactor think nimitz class carrier like one depicted movie top gun,Positive
part add existing ship reduce mass fuel need carry get shipping company attention real quick anyone trying stick bladeless turbine ship going electric something like hydrogen ammonia supplement,Positive
sailing ship infact slower modern cargo ship company restrict fast ship go conserve fuel save money,Positive
always amusing many people brain washed carbon emission scam im certainly new technology different way get thing done motivation case huge problem lie surrounding political movement monumental damaging everyone,Negative
nuclear ship,Neutral
please video ammonia havent heard fuel,Positive
done successfully past,Positive
always genius video matt please video cleaning plastic ocean best combat commercial fishing thankyou,Positive
global chain supply replaced local chain supply next decade globalization dying,Neutral
combine two,Neutral
nuclear powered cargo ship,Neutral
main problem co enemy plant food human also need survive big one world overheating fact getting colder idea fun experiment real breakthrough figure tap natural globalsolar electromagnetic web swimming electrical power find big way get yet bust green waste money energy youre wasting time meantime figure make engine cleaner thats,Negative
youre explanation wing sail explanation normal sail work sailing wind,Neutral
um would prolong every,Neutral
well know say history repeat,Positive
lol touted since kid im lot older matt didnt take wont take there benefit waiting wind get rotting storm prone good across sea speed rule industry even worse fancy video purport working little surface area sail would lighter far square meter would great one thunderfoot look,Positive
pie sky theyll end becalmed great garbage patch ocean,Positive
enough wind solar energy hour supply earth energy need year harness store energy endtoend green manner thats opportunity bring lot green,Positive
lol arent advancing going backwards course endlessly speculating reason wind power generally abandoned cargo passenger line slow unreliable inefficient,Negative
day asking matt change intro music something le loud,Neutral
really need research subject video yes magnus effect work however need power rotate column wind doesnt still need power supply also test proven take tne motor used turn column connect water screw give better propulsion column word complete waste need even fuel,Positive
exhaust gas directly injected seawater ship today see measure main cause ocean acidic,Negative
future transportation since bronze age,Neutral
think past due sailor get back sailing,Neutral
must rid earth toxic fossil cartel,Neutral
windpower couldnt live mistake lead back,Positive
frank costin working ton catamaran knot planing ship blade technology sail photovoltaic panel fuel cell big toxic fossil rule u time global nonprofit leadership truth fair green earth life,Positive
main solution problem good need made locally much possible would reduce eliminate need shipping also help secure supply chain breaking like witnessing,Positive
point view aspect energy topic right way right mix one technology dont think hybrid ship electricfuel cell system ammonia really promising combination wind sailing total balance would great help wind actually lean downsize fuel tank globally use rational way secondary source green hydrogen way magnus effect could used form drag wing sailing system leaving route unchanged used produce electricity reverse cell produce fuel enhance overall efficiency cheer,Positive
bullshit like musk hyperloop future big ship use nuclear power,Negative
video recommendation energy efficient window looking getting new window home ive many different company come bid interesting different technology anyway id love see one video covering new energy efficient window,Positive
great idea get extreme weather cant jettison gm v gb take ship bottom,Positive
interesting definitely great technology use,Positive
news lamp burn whale oil soon rage,Negative
much bad information double dislike,Negative
make need shipping locally sourced good provides job winwin,Positive
wowif could go back time thousand year tell possibility sailing shipslol,Neutral
nice see thing already used opposed near future,Positive
welcome doldrums nothing go wrong go wrong go wrong,Positive
cant replace dense reliable power dilute intermittent power let stop insisting believe nuclear power dense reliable power proven record safety fraction environmental impact alternative,Positive
super yacht maltese falcon black pearl use dynarig modern automated square rig claim able cross atlantic generate energy used dont know whether ever achieved think passenger version would popular trying avoid air travel,Positive
great info however surprised include kite technology like skysail,Positive
dont forget windstar thats smallship cruise line operates three motorsail cruise vessel computeroperated version conventional masted sailing ship augment replace diesel motor,Positive
sail plus battery storage motorgenerator prop seem pretty obvious,Positive
wind way carbon zero yes also end sound pollution ocean,Positive
also look paint shape microlevel surface ship submergedalso construct sea tunnel possible use fast transport,Neutral
asthma allergy,Neutral
saying run car javex hehe,Neutral
im tired wind im weary sea though bet shes belly full damned old coot like pay tax rationed gas get least wind free havent run yet old zeb larry kaplan,Negative
wind powered ship also k sailboat going back basic,Neutral
god love channel,Positive
could future could future make sure leave comment dont forget check sponsor yet another vid rehashed yo tech least try recite marketing flyer,Positive
shipping account almost carbon emission giant screen shipping account carbon emission giant shown nice job never heard continuity much make mind,Positive
really think reduce co say around lower climate temperature damage ecosystem dont idea sun force climate temperature tell climate temperature world stop rising start drop tell ecosystem based carbon dioxide especially plant life plant take carbon dioxide emit oxygen animal breath,Negative
fare storm tho,Neutral
know using massive sail would efficient converting electricty using motor etc,Positive
thank trying going,Positive
channel rename pending bad pun matt,Negative
use power planet generates use salt water battery salt water ocean,Neutral
electric powered miniature molten salt reactor,Neutral
question could following mechanism work windpowered cylinder described turn help propel ship kinetic energy turning cylinder used generate electricity create green hydrogen via seawater hydrogen would turn used generate electricity via fuel cell power ship wind died approaching port sound silly could merit idea,Positive
similar system propane tank bring one empty leave full propane manufacture power container bring empty port leave others full energy huge battery charge main battery transport plus since ship water cooling source charge ship high level using water coolant port,Positive
pick future container ship propulsion probably rollsroyce smr ltd,Neutral
excellent beautiful think ship sail savonius rotor submerged water rotor move generator board charge battery produce liquid air order sell energy cargo shipping shore facility,Positive
people care much co air higher level co help plant grow faster co plant oxygen u co pollutant,Positive
done issue boat sitting week month time excessive wind literally marooned due wind stupid stupid look history people,Negative
brilliant idea excellent explanation cold sail topple ship strong wind otherwise retracted ship power correct postion storm,Positive
football player mean,Neutral
ship already sailing slower save fuel parked week waiting dock reason cant sail even slower using wind park le time,Positive
great video man use rottors generate electricity store battery well drive ship battery act augment drive shaft also generator well,Positive
favour clean technology however west need start using le need redistribute production,Positive
electric power could work recharging underway used underwater power line would regularly spaced buoy floating surface connected would charge small battery carrying ship ship could use drone connect power line electric cargo ship cargo ship would need much le battery,Neutral
drill baby drill,Neutral
im fatt merrell welcome old new,Positive
dont see effectively add type sail container ship without cutting number container least notice none drawing shipping ship sail looked like actually good loaded,Positive
someone thought harness power wind marine transportation sooner oh wait,Neutral
hello matt long time fan could please add post video screen allow time like video content interesting probably many others watch attentive listen watch way till end need time remember like lol keep great work,Positive
roberto carlos brazil v france,Neutral
nuclear power produce ammonia hand winner,Positive
might good fir yacht cargo ship need apply semi truck,Positive
holy shit reduction transpacific route insane,Negative
give trimaran plenty deck space solar compared similar weight monohull hell even without solar panel better fuel economy spacex run synthetic ch solar power boosting speed,Negative
couldnt attach electric motor rotor make electric power use power propeller,Neutral
add solar electric mix,Neutral
might well make transition blimp slip stream,Positive
wonder dont look formic acid fuel ship truck,Neutral
like sail push directly option would place kind windmill produce electricity power normal propeller would mean conversion loss although dont know would percent fewer conversion better suddenly wonder compressed air made special type ship wind mill high independent wind direction effect movement ship could used kind booster jet engine would loss,Positive
ship run carbonneutral methanol hmm im confused combustion methanol im mistaken look like choh co ho doesnt exactly look carbonneutral,Negative
currently ship burn unrefined crude oil sea dirty approach land switch cleaner diesel fuel blend much expensive knowledge may easier simple retrofit ship scrubber technology clean bad emission taken year u installed catalytic converter car got rid real bad emission sailing international water ship free law country regulating ship going complicated may take lot international agreement technology run ship cleaner whether cost benefit implication complicated historically several idea pulling ship wind power year ago large remote controlled kite tried worked reduced fuel see use today reason likely comples even something work also need saving significant enough cover training cost manpower cost issue,Positive
nuclear,Neutral
great ideabut wind get blow ship cant go much wind ship heave toor rip stick completely still need engine continue tea clipper de masted lost steering control lost race get home earlyand dont think container ship designed sail thousand mile wind list like sailing shipwith deck waterwhich see historic sailing ship film filmed voyage lose top deck cargoand becalmed sea week go prove pointlooks good smell goodbut idea sinksall though sail make big profit hoped big success would see world,Positive
maybe stop using slave labor highest poluting county world china produce good,Positive
mean cant fit much cargo boat non starter,Negative
looking vertical rotor cant help wonder vertical axis wind turbine aux electric motor main drive shaft would work straight headwind well add sodium powered jet engine,Positive
technology useful idiot waste time loss money,Negative
sail concept demonstration cargo ship around decade must reason never come fruition,Positive
retractable wind sail electric motor powered rollable canopy solar array top deck changing lion battery seems make sense,Positive
im sure first ship sail around world may first recorded history polynesian viking prehistoric culture may well done first,Positive
perhaps port introduce scheme ship green credential skip queue port ship owner manufacturer would incentive greener ship turn around faster port would also helpful merchant ship publish emission data publicly,Positive
premium sailing vessel entered service cutty sark cutty sark metre length beam metre loaded displacement tonne able carry best tonne cargo harness energy wind available spread canvas tended crew skilled men ratio sail area sa vessel displacement determines lively lively nautical speak fast manoeuvrable carrying capacity cargo ship constrained two way mass volume lead u stowage factor cargo mass board greater displacement turn impact efficiency hull form sail area displacement ratio vessel constrained mass said full vessel constrained volume said full tea trade cutty sark designed built fine line nautical tech speak need worry could carry around tonne cargo speed knot dependent prevailing wind typical china uk time passage day tea trade competitive time passage large factor securing premium freight rate made cutty sark cost effective rounding thing maximum available sail area gave circa canvas every tonne tea carried soon suez canal opened cutty sark unable sail lost advantage raw speed steam powered ship era could beat time passage taking short cut mechanically powered ship improved term efficiency freight tonne mile basis least one order magnitude since losing coal burning fire tube boiler steam reciprocating mechanical ship late th century cutty sark relegated australian wool trade bottom barrel maritime term one small step honey barge,Positive
ish mention sail arent like wing thats precisely work particularly sailing close wind,Negative
read book year ago called knot sailboat used wingsails small scale interesting read,Positive
expected skysail mentioned last time saw something looked like fitted cargo ship tested big advantage easy retrofiting older ship also completely stows away bow near anchor,Positive
hi matt get information savonius original inventor flettner rotor,Positive
ive looked wingsails quite bit upgrade traditional sail personal craft im betting youve seen hard research topic need better name tech separate thing looked kite sail claim wind powerful ft surface deep dive uncover long youtube video startup researched stationary kite sail energy production company system large commercial ship supposedly electric boat company going use story want hear commercial boat maker announced year ago wingsails production model longer discus topic happened learn,Positive
couple point firstly wind powered ship need large auxiliary engine minimize delay risk second unless mandated payback year needed ensure widespread uptake brighter note might also worth contemplating brine redox flow battery electric propulsion marine use one liquid would sea wonder issue whether anyone working,Positive
wish could speak elaborately,Positive
undecided man made climate change real im ready explore carbon reducing technology driven premise trying become energy independent motive enough,Positive
nice plug evergreen dont make nuclear powered large scale cargo shipping quick easy get production instantly fossil fuel wound buy humanity time develop technology bite nose spite face ignore nuclear principle,Negative
smrs although dont know want world fleet nuclear reactor board,Negative
would defeat whole reason put engine ship first place wind doesnt always blow desired direction fast enough,Negative
ad beginning minute worth ad middle end immediate thumb got ad blocker good reason content creator basically bending advertiser got blocker need hung drawn quartered,Positive
wind power way go shipping century need big change economy order go way first sadly fossil fuel burned climate change human population collapse sustainable level become obvious consuming good side planet unrealistic fuel wind power become way power ship mean time unless fuel cost skyrocket make technology payback year stay exotic side shipping industry wind turbine solar panel maybe nuclear source energy human stop wasting energy like moment thermal engine thermal efficient mean mw engine waste mw heat atmosphere run,Negative
there ton technique besides wind energy reduce fuel usage like auto adjustable rotor blade maybe check paper maritime research institute netherlands marin there probally researcher who willing help information ongoing technique,Positive
promising biological source ammonia ship also flexibility carry vast yet crude battery maybe even saltwater battery using iron carbon zinc etc would cool molten salt breeder reactor running nuclear waste thorium etc worked ship pretty ideal application small nuke nuke could green molten salt liquid core reactor situ reprocessing currently kind pipe dream though going sail experiment made parasail like big guided parasail could solve mount sail problem basically turn massive cargo ship massive windsurfing board,Positive
u navy using green energy decade half century successfully vessel nuclear power plant operating one harshest environment planet month time doesnt produce ounce carbon emission,Positive
freight cargo pile block rotor receiving wind build rotor side build ship balanced reduces cargo space,Negative
another may video,Neutral
good start would limit global shipping whole crazy transportion cargolifestock happening combination le boot wind solar energie feature used sound like solution,Positive
speed knot per hour knot nautical mile per hour arc minute along meridian per hour meterssec cousteau oceangrapher used ship flettner rotor called calypso,Neutral
traditional sail also airfoil description wing sail didnt really explain different thing said lift drag thrust also said traditional sail,Negative
tired may could video,Negative
find hilarious many resource go making airplane shipping greener one care bigger polluter like concrete steel production cattle meat product good work dont address bigger one well get nowhere road vehicle energy production imo ontrack,Positive
sound idea still another hitec stopgap like ev world especially west need stop mass overconsumption would adress problem shipping emission plenty others source,Negative
ive met time ceo norsepower he really cool smart guy definitely lot potential maritime industry long time lurker subbed greeting,Positive
oldschool sailing ship there wind use methane gas generated ship holding tank fuel propel ship without wind,Neutral
rotor sail turbine energy combined,Positive
check wind kite ship,Neutral
future sailing using wind power brand new discovery never discovered wind instead big window curtain catch scientist expert studying phenomenon call gust developed technology allows human control medium cant see truly revolutionary never history mankind could futuristic accomplishment undertaken created imagine bright mind develop next talk revolving around thing called sterling engine tune next week detail honor thanks reading,Positive
ok great ish percent fuel saving buuuut much le cargo could ship carry result carried le cargo net loss term money term reducing carbon footprint,Positive
asymmetrical wing shape myth long debunked,Neutral
sail power dont think container stacked according ship carry thats deck well room sail rotor,Positive
ammonia cost lot energy produce,Positive
tried alreadythey called sail,Neutral
experiment done back early seventy ideathey couldnt figure avoid sail mast cracking mount,Positive
allready said progress made slowly carbon dioxyd saving method pilot early usage stage year well see advanced cheaper technic one problem airplane long runtime ship often run year mean progress greener cargo transport made small step ship become technological outdatet maybe year,Positive
course year old brainwashing campaign fossil fuel lobby make u blind obvious wellproven safe clean convenient technology nuclear,Positive
moltensaltreactor,Neutral
ive traveled lot cruise shipferry us rotary sail lng engine,Neutral
skysail,Neutral
hi matt another great video may make suggestion dont add background music video tune fantastic presentation listen music music distracting im trying concentrate explaining save production effort ditch background music example e electric think dont use background music presentation much easier listen enjoy joe scott thing background music give try,Positive
look green smart technology tested stormy harsh condition ocean prove,Negative
beneteau working wingsail slow progress must mean prohibitive factor making work see early work,Positive
yes made steel plastic etc ect like solar panel relying mining chemical factory wind turbine using concrete steel etc etc look like bullpoo make people believe actually something change cant fast enough,Positive
big problem wind intermittency sea level thats wind turbine keep getting taller take advantage consistent wind speed higher altitudeand also solution look improving efficiency really needed biofuels green ammonia methanol propulsion system think green hydrogen pipe dream biofuels still emit carbon dioxide supposedly carbon neutral remember much carbon sequestered naturally green ammonia methanol like hydrogen going expensive manufacture remember even natural gas would better fuel oil used cheap could cut shipping emission using natural gas cut dirty noxious emission zero imported good going cost,Positive
parody,Neutral
kite like kite surfing,Positive
know going popular answer today nuclear proven method powering big ship cleanly know there debate spent fuel rod wont matter dont get handle climate change soon,Positive
using wind power seems like nobrainer wonder ship dont try regular old traditional sail seems like would well suited tanker particularly tanker route bridge overhead cable would motorized wouldnt need crew like olden day seems like could work reasonably well boost fuel efficiency youre dealing kind bulk usage good everyone,Positive
time line steam motor driven ship pretty messed also assertion clipper faster current freighter false unless looking large tanker similar vessel comparison hundred tom clipper cargo v high ten hundred thousand ton even speed clipper best case motor ship reliably deliver speed time,Positive
sorry matt many advert,Negative
nuclear fission already use around world naval ship,Neutral
im curious would happen ocean major ammonia spill one ship,Positive
skip wind go straight back stone age,Positive
combine tech together green fuel wind power,Neutral
nuclear boat military proven definitely possible,Positive
careful thunderft sight,Positive
wow totally never used proven much le reliable gas electric driven ship future cant believe specie dumb enough relabel old technology anything stirling engine would work better,Positive
steam ship faster could go direct path didnt problem wind changing,Positive
wind powered boat future people year ago hey ive seen one,Neutral
im sure stable ship would high sea full force gale sure look top heavy,Positive
later dude thunderfoot afoot take bound,Neutral
dont think wind idea would work cargo ship since theyd full cargo blocking wind,Negative
missed world first allelectric autonomous cargo vessel debuted also surprised arent stirling engine assisted ship since standard large yacht,Negative
load nonsense,Negative
easy way use unstayed mast sgaped like wing long horizintal dimension cloth atthe bottom thepast around wide deep simple easy control wind angle ca marchaj write themainbook year ago new research needed,Positive
maybe im wrong time resource development safest best healthiest placed renewable resource production thermal energy requirement might best though seems director mass energy balance whew room improvement regard waste management recycling material system produced whether heat related worry thinking related perpetuity forever isnt well thought many current time range alive really need considered others society humanity future better,Positive
refrigerant based heat exchanger drive sterling engine,Neutral
rotpr sail look like new wind generator battery electric motor done,Positive
nice consensus green environment every effort valid maybe hidrogen fuel ship sailing development soon,Positive
advancement manufacturing tech like robotics printing wonder well start see drop global shipping also wonder country make sustained effort shorten supply chain reduce dependence foreign market,Positive
ill throw link fresh mind however still think radioisotopic thermoelectric external combustion method without doubt safest energy efficient way produce energy seems gap phase change phase change material possibly utilized improve performance whether high pressure system must gap design demonstrated known day must capability improve high pressure external combustion engine must scared reason maybe need looked day wonder secret submarine arent detailed publicly use,Negative
dont understand ship dont use giant parachute sail could save lot money fuel,Positive
seems along line nuclear power plant advance water desalination need integrated system theyre external combustion possibly radioisotope thermoelectric generator rtgs though personally think advancement rtgs akin pvs isnt par capability radioisotope thermoelectric external combustion engine capability proven performance especially high pressure like would best suited underwater underground,Positive
wingsails used yacht year wellunserstood,Neutral
seems nuclear system safely contained therefore need designed like global iot system monitoring deployed system condition assure healthy safe operation seems nut advanced nuclear power plant system become yet degenerate handling system begun recycling personally feel underground operation process store control lifecycle deployed underwater,Positive
go wind technology,Neutral
hey matt pairing wind turbine huge heavy battery electric engine deck long wind blowing hard could top charge got hit wilth calm could solar charge keep chugging along much quieter far le emmisions amonia tank spill worry remember graduated cylinder collapsing chrome camping cup tower collapsed think would vital storm would lie across deck cargo might go check bit davinci,Neutral
thank,Positive
want net zero need decrease trade start making thing locally sailing ship would still need power way manufacturing doesnt warehouse lot inventory sailing ship sitting doldrums factory depend time delivery would shut like ship sitting harbor,Positive
first time im hearing,Neutral
video always interesting informative good job,Positive
eco mining,Neutral
another great video,Positive
build hydro electric power plant inside ship plenty water around,Neutral
im enthused work probably done scientist around keep improving various understanding using wind solar thermal various chemical mineral help u improve ability go cleaner mean transportation lighting heating,Positive
really wind point age put freakin tokamak ship amount submarine dont follow example,Neutral
shipping company look kit sail efficient form wind capture since wind increase average speed higher one go kit extract wind energy ship guided around figure eight pull vessel forward assume open water optimal narrow area like dock waterway us electric battery electric setup open water sailing battery pack used power electrical system safety system well kit typically used super yacht see used merchant shipping,Positive
look technology,Neutral
seen size engine fuel tank big ship huge simply cant believe equivalent power electric engine battery take space certainly le complex require le maintenance battery would also le polluting fuel light accidentsspillages plus there almost constant opportunity recharge battery solar wind enroute find odd shipping always spoken one source co replaced electrification always seemed ideal mean transport electrified,Positive
hoping would least mention sailcargo,Positive
matt im almost ready unsubscribe channel video bad paddling b science habit making title sound always like gadget going future kind title always come message believer ticket future without pollution global warming already instead case potential killer problem honestly highlight please stop click bite dont need video could titled wind power given new shot cargo ship propulsion well know follow youtube algorithm click bite title give audience least say clearly video dont get excited yet still long way maybe happen dont know long resist repulsion click bite though,Positive
thing change stay,Neutral
hi matt anthropogenic c still proven cause damaging climate change could please produce scientific paper showing empirical evidence anthropogenic c causing climate change agree ship pollute wind power make shipping dangerous sea maneuvering port unless reduction made winddriven device,Negative
wind powered shipswhat time alive,Positive
cool,Positive
alternate wind power new tech im working put stick water move bit move increase number stick additional power,Positive
seems least ship equipped utilize wind route otherwise throwing away freely available energy might said solar anyway,Positive
dad joke better blow,Positive
wind may best definately coolest,Positive
nuclear,Neutral
nice one although expected also information kitestyle sail option run flettner rotor wind small wind wheel,Positive
still need hydrogen wind tech improve efficiency hydrogen ship used,Positive
sail could handle failure end back,Negative
weather mapping tow barge sail solar thing used make shipping slower green slower ship mean ship mean job see win win,Positive
likely hydrogen good thought,Positive
hope topic get big enough thunderfoot absolutely destroy b,Negative
cargo ship go radioactive,Neutral
done,Neutral
curious rotor sail could generator attached base generate electric power electric ship engine,Positive
feel like every new green tech going back year ago,Positive
good reason commercial shipping dropped wind power last century reason still applies wind unreliable unpredictable even non existant frequently normal maritime shipping operation require predictable transit time missed docking shedule cost serious moned knock effect subsequent sheduled transit locationseasily outweighing fuel saving seems people aware financial implication subsequent cost good transportedof increased shipping transit time alternative fuel source mentioned hydrogen methanol ammonia etc,Positive
sunken ship possibility many x worse exxon valdez releasing stored oiland since wreck world war wreck deteriorating basically rate think multiple valdez spill,Negative
navy nuclear reactor used decade wonder dont use commercial ship,Neutral
one solution fit solution need investigating never know may come upon something unexpected,Positive
still going need power ship system wheres coming wont solar isnt room need nuclear merchant fleet bullshit id love know thing going load unload container mast wont fit crane already closed top,Neutral
nuclear make sense huge cargo ship,Positive
tea wool clipper greyhound ocean ran essentially downwind following trade wind would love see cargo ship sailing upwind container ship generally carry lot empty container one way creates huge windage requires lot power overcome would also like see whether mast would fixed height lot port would height constrained,Positive
ahhh sail boat quick look another elephant room,Neutral
big immovable flag looking thing going problem gale look like non starter big joke however placid water area might useful windy place pretty quick,Positive
náu vitória yet see one yt video properly written portuguese one day,Neutral
every thing future next big stuff actually already living andromeda android sucking dick hard take research seriously,Negative
roberto carlos free kick reference,Positive
cost reduction fuel consumption per container since would inevitably carry le container per trip either way cool technology,Positive
analogy flawed clipper ship likely le cargo achieve speed expensive light cargo could use stay profitable cargo light expensive would likely shipped air boat also shipping route called trade wind massively increase effectiveness trade u europe wind powered boat cost far build carry far le cargo slower trade route unreliable would still need engine pay tug dock could never negotiate river canal without help cargo shipped boat cheapest form transportation never see windsolar boat niche tiny maybe best shipping market far le even,Positive
kite technology lot potential could video,Neutral
im waiting someone come electric ekranoplan thats u built would take one fl tx,Positive
shouldve way year ago,Neutral
keep waiting solar fabric theyve promising year hit mainstream us going put giant sail might nice harvest electricity land surfer theyve tested go faster wind blowing straight back course even head angle wind go faster wind know ocean current significantly slower course go faster going current wonder might way create water sail sort magnify bit,Positive
green amonia produced using hydrogen water electrolysis uhm well go use fuel cell instead going another step burn cant,Positive
change video nameclickbait matt hour ur video got k view youtube algorithm must put away viewer reason,Neutral
kite number company already using kite although dont replace diesel engine make significant cost saving,Positive
net zero co emission fantasy concept ignores volcanic activity natural source,Positive
north power wind turbine good way produce power,Positive
hasnt nuclear power supermassive cargo ship taken say aircraft carrier military,Neutral
nuclear reactor power large container ship future knot speed emission provide mw clean power land docked addition would save billion fuel lot detail work major organization working,Positive
dont need think blah blah blah,Positive
assert wind powered ship faster somewhat disingenuous sailing ship water speed highly dependent point sail broad reaching usually fastest however wind blow constant speed direction combination water current greatly affect long cost move port port addition many ship need move waterway suez panama canal use short cut usually impractical sail rendered clipper uncompetitive route designed work least one experimental hybrid wind powered commrercial ship built around using rigid sail reaction opec induced oil crisis object reduce consumption expensive fuel actually saw find record suspec failed commercially bunker fuel cost fell carbon foot print issue,Negative
sailed new york usa brest france sailed aboard full rig midseptember early november surprised often wine quiet route sailed supposed wind current favorable period speed knot best skeptical solution even modern technology clipper class carry much load,Positive
future ship may past,Neutral
think itd worth design ship could put container leaving top ship wind power stuff believe people figuring true cost energy,Positive
seems lack punnage tonnage still enjoyed video though keep good work,Positive
thing remember wind powered shipping development supplementary currently wing sail look promising despite absurd efficiency claim main barrier adoption seems speed complexity mainly faster shipping volume profit whereas slower shipping le volume eats cost efficiency space weight actually secondary concern alternate fuel run way fuel space weight cost generally higher equivalent power availability lower even infrastructure built tech improved still permanent loss capacity noticeable early adopter hamper rollout previous method become costly either diminishing supply major power progressively taxing,Neutral
kind silly wing ship supposedly technologically advanced sail literally already flexible vertical wing there lot ship design sail upwind also faster actual wind speed certain angle,Positive
thats airfoil create lift,Positive
ship used wind powered century,Neutral
