comment,sentiment
"Similar system as propane tank.
You bring one empty and leave with an other full of propane.

Manufacture power containers.
Bring them empty at the port and leave with others full of energy.

And those huge batteries charge the main battery during the transport.

Plus, since ship are on water (cooling source), can charge the ships at very very very high level using the water as coolant when at ports.",Positive
My pick for future container ship propulsion is probably Rolls-Royce SMR LTD.,Neutral
"Excellent, beautiful. I think ships with sail or Savonius rotors and submerged water rotors to move generators on board. It can charge batteries, produce liquid air in order to sell this energy to cargo shipping or to shore facilities.",Positive
Why do people care so much about co2 in the air? Higher levels of co2 help plants grow faster. Co2 is to plants as oxygen is to us. Co2 is not a pollutant.,Positive
have we not done this before and had the issue of boat sitting for weeks months at time from excessive winds or literally marooned due to no wind  are we stupid or are we stupid  (look at history people),Negative
"Brilliant ideas, excellent explanation, but Cold those sails topple the ship in strong winds?, otherwise, they have to be retracted, and the ship will not have the power to correct its postion during storms.",Positive
football players you mean,Neutral
These ships are already sailing slower to save fuel and then they are parked for weeks waiting for a dock.  No reason they can't sail even slower using wind and park for less time.,Positive
Great video man... Why not use those rottors to generate electricity and store them in batteries as well as drive the ships  so  the batteries can act or augment not just the drive shaft but also the generators as well?,Positive
All in favour of clean technology however the West needs to start using less. Further we need to redistribute production,Positive
Electric power could work if recharging while underway is used. Underwater power lines would have regularly spaced buoys floating at the surface connected which would charge small battery carrying ships. These ships could use drones to connect a power line between them and the electric cargo ship. The cargo ship would need much less battery.,Neutral
Drill baby drill!,Neutral
im fatt merrell and welcome to old is new,Positive
i dont see how you can effectively add any type of sails to a container ship without cutting the number of containers by at least 50%. i notice that none of the drawing of shipping ships with sails looked like they actually had any goods loaded.,Positive
"If only someone had thought to harness the power of the wind for marine transportation sooner... oh, wait...",Neutral
"Hello Matt! Long time fan here. Could you please add a post video screen to allow the time to like your videos? Your content is very interesting and because of that I, and probably many others who watch, am so attentive that we listen and watch all the way till the end. We need time to remember to like it. Lol! Keep up the great work! 😁",Positive
3:55 Roberto Carlos for Brazil vs France 1997,Neutral
"Nuclear power to produce ammonia, hands down winner.",Positive
This might be good fir yachts but for cargo ships we need to apply the same as semi trucks,Positive
Holy shit 20% reduction on a trans-pacific route? Insane.,Negative
Give me a trimaran with plenty of deck space for solar compared to a similar weight monohull.  Hell even without the solar panels they have better fuel economies.  Then do what SpaceX does and run on synthetic CH4 with solar power just boosting the speed.,Negative
Couldn't you attach a electric motor to the rotor to make electric power and use that to power the propeller ?,Neutral
Why not add solar electric to the mix?,Neutral
might as well just make the transition to blimps in the slip stream,Positive
I wonder why they don't look at Formic Acid as a fuel for ships and trucks....,Neutral
"I like it that these sails push directly. Some other option would have been to place a kind of windmill which produces electricity which then powers the normal propellers. That would mean conversion losses although I don't know if it would be more than a few percent. But the fewer conversions, the better. 
I suddenly wonder if compressed air made with a special type ship wind mill (not too high, independent of wind direction, no effect itself on the movement of the ship) could be used for a kind of booster jet engine but again there would be losses.",Positive
"11:10 ""...on ships that can run on carbon-neutral methanol"".
Hmm, I'm confused. The combustion of methanol, if I'm not mistaken, looks like:

2 * (CH3OH) + 3 * (O2)  ->  2 * (CO2)  + 4 * (H2O) 

Which doesn't exactly look carbon-neutral, no?",Negative
"Currently, ships burn unrefined crude oil while out at sea, (this is very dirty) and when they approach land switch over to a cleaner  diesel fuel blend which is much more expensive. With this knowledge it may be easier to simple retrofit ships with scrubber technology to clean up the bad emissions. It has taken years, but the US has installed catalytic converters on cars which got rid on 99% of the real bad emissions. When sailing in international waters, ships are free of laws from all countries so regulating the ships is going to be complicated, this may take a lot of international agreement. We have the technology now to run those ships cleaner, whether we should or not, and the cost benefit of all the implications is complicated. Historically, there have been several other ideas for pulling ships with wind power, a few years ago large remote controlled kites were tried. While they ""worked,"" and reduced fuel you do not see them in use today. The reasons are likely comples. Even if you have something and it works, you also need to have the savings significant enough that it can cover all the training costs, manpower costs and other issues.",Positive
Why not just nuclear?,Neutral
"Great idea,but when the wind gets to blow the ship can’t go ,to much wind, and the ship has to heave to,,or it will rip the sticks completely out ,so they will still need an engine to continue, and tea clippers were de masted, or lost the steering  control and lost the race to get home early.and I don’t think a container ships are designed to sail for thousands of miles with a wind list of 20/30% like a sailing ship,with the decks under water,Which you can see on historic sailing ship films ,filmed on the voyage ,.       you will lose most of the top on deck cargo.and being becalmed on the sea for weeks just go’s to prove my point.looks good ,smells good,but the idea sinks,all though they will sail but not to make a big profit as was hoped if it was a big success we would see them all over the world.",Positive
"Maybe stop using slave labor in the highest poluting county in the world, China, to produce goods? 🤔",Positive
"If it means they can't fit as much cargo on the boat, it's a non starter.",Negative
"Looking at those vertical rotors I can't help but wonder why not vertical axis wind turbines with an aux electric motor on the main drive shaft.
This would work straight into a headwind as well.
Or add Sodium powered Jet engines.",Positive
Yours technology is not useful it is for idiot waste of time loss of money,Negative
The sails concepts and demonstrations for cargo ships have been around for decades. There must be a reason it has never come to fruition,Positive
"Retractable wind sails and electric motors powered by rollable canopy solar array over the top deck, changing li-on batteries, seems to make the most sense.",Positive
"I'm not so sure about that first ship to sail around the world. It may have been the first in recorded history, but the Polynesians, Vikings, or other prehistoric cultures may well have done it first.",Positive
"Perhaps ports should introduce a scheme where ships with ""green credentials"" can skip the queue at port. Then ship owners and manufacturers would have incentives as greener ships will turn around faster in port. It would also be helpful if merchant ships had to publish their emissions data publicly.",Positive
"In 1870 a premium sailing vessel entered service, the ‘Cutty Sark’.  The ‘Cutty Sark’ was 64.74 metres in length with a beam of 10.97 metres and a loaded displacement of 2 100 tonnes.  She was able to carry, at best, 1 700 tonnes of cargo and to harness the energy in the wind the available spread of canvas was up to 2 976m2 which was tended by a crew of about 30 skilled men.  The ratio between the sail area (SA) and the vessels displacement (D) determines how lively she was; ‘lively’ being nautical speak for ‘fast and manoeuvrable’.  The carrying capacity of cargo ships is constrained in two ways, mass and volume which leads us to the ‘stowage factor’ of the cargo; the more mass on board the greater the displacement which in turn impacts the efficiency of the hull form and the sail area / displacement ratio.  A vessel constrained by mass is said to be ‘down but not full’, while a vessel constrained by volume is said to be ‘full but not down.  When in the tea trade, which the ‘Cutty Sark’ was designed and built for with fine lines (more nautical tech speak, so again no need to worry about it) she could carry around 600 tonnes of cargo at speeds of up to 17.5 knots dependent on the prevailing wind and had a typical China to UK time on passage of 120 days.  The tea trade was very competitive so ‘time on passage’ was a large factor in securing the premium freight rate that made the ‘Cutty Sark’ cost effective.  Rounding things out, her maximum available sail area gave circa 5m2 of canvas for every tonne of tea carried.  As soon as the Suez Canal opened, which the ‘Cutty Sark’ was unable to sail through; she lost her advantage, raw speed, to the steam powered ships of that era who could beat her ‘time on passage’ by taking that short cut.  Mechanically powered ships have improved in terms of efficiency, on a freight tonne mile basis, by at least one order of magnitude since then.  After losing out to the coal burning, fire tube boiler, steam reciprocating mechanical ships of the late 19th century ‘Cutty Sark’ was relegated to the Australian wool trade, just about the bottom of the barrel in maritime terms and only one small step up from being a 'honey barge'.",Positive
"@6:40ish you mention that sails aren't like wings, but that's precisely how they work - particularly when sailing close to the wind.",Negative
"I read a book about 50 years ago called ""The 40 knot Sailboat"" which used wingsails on a small scale. An interesting read",Positive
I expected SkySail to be mentioned too. Last time I saw something about it it looked like it has been fitted to some cargo ships and was being tested. It big advantage was easy retrofiting to an older ship and also that it completely stows away into the bow near the anchors.,Positive
Hi Matt. Where did you get the information that Savonius was  the original inventor of the Flettner Rotor ?,Positive
"I’ve looked into wingsails quite a bit as an upgrade for more traditional sails on personal craft. I’m betting you’ve seen how hard it is to research this topic (need a better name for the tech to separate from other things).
Have you looked at kite sails? The claim there is wind is more powerful at 200 ft than surface. Deep dive will uncover long YouTube video from startup that researched stationary kite sails for energy production. There is a company that has a system for large commercial ships and supposedly an electric boat company is going to use them.
The story I want to hear is why commercial boat makers who announced 10 years ago to have wingsails on production models no longer discuss the topic. What happened? What did they learn?",Positive
"Couple of points. Firstly, wind powered ships need a large auxiliary engine to minimize delay risk. Second, unless mandated, payback of 2 or 3 years is needed to ensure widespread uptake. On a brighter note, it might also be worth contemplating brine redox flow batteries and electric propulsion for marine use.  One of the 2 liquids would be the sea ! Wonder what the issues are and whether anyone is working on this ?",Positive
I wish I could speak so elaborately,Positive
Undecided if man made climate change is real or not. So I'm not ready to explore any carbon reducing technologies driven by that premise. Trying to become energy independent is motive enough.,Positive
"Nice plug for the ""Evergreen."" Why don't we just make Nuclear Powered large scale cargo shipping? Quick and easy to get into production and instantly no fossil fuels. This wound buy humanity time to develop other technology. Why bite our nose off to spite our face and ignore Nuclear out of principle????",Negative
SMR's! Although I don't know if you want the worlds fleet to all have nuclear reactors on board...,Negative
"This would defeat the whole reason we put engines on ships in the first place. The wind doesn’t always blow, or in the desired direction or fast enough.",Negative
"Ad at the beginning, over a minutes worth of ad in the middle, more at the end. Immediate thumbs down. I got an ad blocker for a good reason, you ""content creators"" basically bending over for advertisers because we all got blockers, need to be hung, drawn and quartered.",Positive
"Wind power is the way to go for shipping as it has been in the 1800 century’s. But we will need big change in the economy in order to go this way. First sadly all the fossil fuel will have to be burned, then, with the climate change,  the human population will collapse to a more sustainable level Then it will become obvious that consuming goods from the other side of the planet will be unrealistic with no fuel. The wind power will become the only way to power ships. In the mean time unless the fuel cost skyrocket and make those technology payback in a year or so, it will stay in the ´exotic’ side of the shipping industry. When only wind turbine, solar panels and maybe nuclear will be the only source of energy, human will stop wasting energy like they do at the moment. Thermal engines are only 50% thermal efficient at the most. This means that a 10MW engine waste 10MW of heat into the atmosphere to run.",Negative
There’s a ton of other techniques besides wind energy to reduce fuel usage. Like auto adjustable rotor blades. Maybe check out the papers from maritime research institute from the Netherlands (MARIN). There’s probally some researcher who’s willing to help you with information about ongoing techniques.,Positive
"There are some promising biological sources of ammonia.

Ships also have the flexibility to carry vast yet crude batteries. Maybe even a saltwater battery using iron, carbon, zinc, etc.

It would be cool if molten salt breeder reactors running on nuclear waste, thorium, etc. worked out. Ships are pretty ideal applications for small nukes if nukes could be green because of molten salt liquid core reactors with in situ reprocessing. Currently kind of a pipe dream though.

If going with sails, some experiments have been made with parasails. Like, big guided parasails. That could solve the ""where to mount the sails"" problem- just basically turn a massive cargo ship into a massive windsurfing board.",Positive
The US Navy has been using green energy for decade over half a century very successfully on some of their vessels. 166 nuclear power plants operating in one if the harshest environments on the planet months at a time. Doesn't produce an ounce of carbon emissions.,Positive
"As the freight cargoes pile up, it blocks the rotors from receiving wind. If you build rotors on the sides, you have to build on both so that the ship is balanced. But again, it reduces cargo space.",Negative
"Another ""may"" video.",Neutral
A good start would be to limit global shipping as a whole. Their are some crazy transportion of cargo/lifestock happening. A combination of less boots and more wind or solar energie features used sounds like a solution to me.,Positive
"2:20 speed is not in knots per hour
1 knot = 1 nautical mile per hour = 1 arc minute along a meridian per hour = 1.944 meters/sec
Cousteau, the oceangrapher used a ship with Flettner rotors, called Calypso.",Neutral
"Traditional sails are also airfoils. Your description of wing sails didn't really explain how they are different. All the things you said about lift, drag, and thrust can also be said of traditional sails",Negative
"I am tired of these may be, could be, if videos",Negative
"I find it hilarious why so many resources go into making  airplanes and shipping greener, but no one cares about other bigger polluters like concrete, steel production, cattle and meat products. 

It's good to work on these, but if you don't address the bigger ones we'll get nowhere. Road vehicles and energy production are imo on-track.",Positive
"while this is a sound idea, it's still just another hi-tec stopgap, like ev's. the world - especially the west - needs to stop its mass overconsumption. that would adress the problem of shipping emissions (and plenty of others) at the source.",Negative
"I’ve met a few times the CEO of Norsepower, he’s a really cool and smart guy! Definitely a lot of potential in the maritime industry. Long time lurker, now subbed! Greetings from 🇫🇮",Positive
"how about, do it oldschool, with sailing ships, and then when theres no wind, use methane gas generated from the ships holding tank as fuel to propel the ship without wind",Neutral
Can rotor sails and turbine energy be combined?,Positive
"Check out wind kites for ships.
https://en.m.wikipedia.org/wiki/SkySails",Neutral
"The “future” of sailing… using wind power. Brand new discovery 😂 never before discovered wind. Instead of big window curtains to catch , what scientists and experts studying this phenomena call gusts. The developed technology now allows humans to control the very medium we can’t see. Truly revolutionary and never in the history of mankind could such a futuristic accomplishment be undertaken or created. Imagine what these bright minds will develop next. Talks are revolving around a thing called a “sterling engine” tune in next week for all the details.


This has been a honor thanks for reading",Positive
"Ok, great on the 20-ish percent fuel savings, buuuut how much less cargo could the ships carry as a result? Because if they carried 20% less cargo then you have a net loss both in terms of money AND in terms of reducing carbon footprint..",Positive
The 'asymmetrical wing shape' myth is long debunked.,Neutral
SAil power? I don't think so.. Containers are stacked according to what the ship can carry and that's on the deck as well. No room for sails or rotors.,Positive
Ammonia? Costs a lot of energy to produce.,Positive
this was tried already...they were called sails m8,Neutral
Experiments were done back in the early seventies with this idea...they couldn't figure out how to avoid the sail masts cracking in their mounts.,Positive
"You allready said it, progress is made very slowly and most carbon dioxyd saving methods are in pilot or early usage stage. So in some years we'll see advanced and cheaper technic. One problem (same for airplanes) is the long runtime of these ships. They often run for 20-30 years. This means progress for ""greener"" cargo transport is only made in small steps and these ships become technological outdatet after maybe 5 years.",Positive
"Of course, 60 years old brainwashing campaign by fossil fuel lobby make us blind to obvious, well-proven, safe, clean, convenient technology: nuclear.",Positive
#moltensaltreactor,Neutral
I've traveled a lot on a cruise ship/ferry that uses a rotary sail. And LNG for the engines.,Neutral
skysails,Neutral
"Hi Matt, Another great video. May I make a suggestion? Don't add any background music to your videos. I (we) tune in for your fantastic presentations, not to listen to music.  The music is distracting, I'm trying to concentrate on what you are explaining. Save yourself some production effort and ditch the background music. For example, E for Electric and Just Have A Think don't use background music and their presentations are much easier to listen to and enjoy. You and Joe Scott have this thing for background music. ??? Give it a try. :)",Positive
it looks a green and smart technology but it should be tested in the stormy harsh conditions of the ocean to prove itself,Negative
"Beneteau were working on a wingsail in 2014, such slow progress must mean there are some prohibitive factors to making it work. see there early work here https://youtu.be/H1cEFP_H4Rk",Positive
"yes all of that made of steel, plastic  etc ect like solar panel relying on mining and chemical factories and wind turbine using concrete steel etc etc it all looks like bullpoo to make people believe that actually something can change. all of it can't be fast enough",Positive
"The big problem with wind is intermittency at sea level. That’s why wind turbines keep getting taller - to take advantage of more consistent wind speeds at higher altitude.And also why most of these solutions look at just improving efficiency. So what is really needed is biofuels or green ammonia and methanol propulsion systems. I think green hydrogen is just a pipe dream. Biofuels still emit carbon dioxide - supposedly carbon neutral, but remember much of that carbon is sequestered naturally, green ammonia and methanol, like hydrogen are going to be very expensive to manufacture. But remember, even natural gas would be better than fuel oil which is only used because it is cheap. You could cut shipping emissions just be using natural gas, and cut the dirty noxious emissions to zero. But your imported goods are going to cost more.",Positive
Is this a parody?,Neutral
What about kites?  like the kite surfing.,Positive
I know this is not going to be popular but the answer today is nuclear. It's a proven method of powering big ships cleanly. I know that there's a debate on what to do with the spent fuel rods but that won't matter if we don't get a handle on climate change soon.,Positive
"Using wind power seems like a no-brainer. I wonder why some ships don't try regular old traditional sails. Seems like they would be well suited for tankers, particularly tankers on routes with no bridges overhead. All the cables would be motorized so you wouldn't need a crew like in the olden days. Seems like it could work reasonably well. But any boost in fuel efficiency when you're dealing with that kind of bulk usage will be good for everyone.",Positive
"Your time line for steam and motor driven ships is pretty messed up. Also the assertion that clippers were faster than current freighters is false, unless you are only looking at large tankers and similar vessels, and then the comparison is between a few hundred toms of clipper cargo vs high tens or hundreds of thousands of tons. Even then the speeds of clippers are best cases, while motor ships reliably deliver the same speeds all the time.",Positive
"Sorry Matt, too many adverts.",Negative
NUCLEAR FISSION. its already in use all around the world on naval ships,Neutral
I’m curious.  what would happen to the ocean if there was a major ammonia spill from one of these ships?,Positive
Why not skip wind and go straight back to the stone age?,Positive
"why not combine both tech together, green fuel and wind power",Neutral
what about nuclear boats? the military has proven that it's definitely possible,Positive
Be careful thunderf00t has his sights on you ! 🤣,Positive
"WOW, this has totally NEVER been used before and proven to be much less reliable than gas and electric driven ships. The future is now.














I cant believe we as a species are dumb enough to just re-label old technology. if anything a stirling engine would work better.",Positive
But steam ships were faster because they could go on a direct path and didn't have problems with the wind changing.,Positive
"""Wind powered boats are the future""
People 14000 years ago: ""Hey, I've seen this one before""",Neutral
I’m not sure how stable that ship would be in high seas and a full force gale. It sure looks top heavy.,Positive
later dude.... thunderfoot afoot to take you down :-) you are out of bounds,Neutral
i don't think any of the wind ideas would work for cargo ships since they'd be full of cargo blocking the winds.,Negative
"just missed out, the worlds first all-electric autonomous cargo vessel debuted. Also surprised their aren't any Stirling engine assisted ships. Since this is standard in large yachts",Negative
What a load of nonsense.,Negative
The​  easy​ way​ is​ to​ use​ an​ unstayed  Mast​ sgaped  like​ a​ wing​ with​ the​ long​ horizintal  dimension  about​ 10% of​ the​ cloth​ At.the​ bottom.​ The.past​ should​ be​ around​ 30​ wide​ as​ deep.​ Very​ simple​ and​ easy​ to​ control​ at​ any​ wind​ angle.​ CA​ Marchaj  write​ the.main.book  about​ 30​ years​ ago.​ No​ new​ research​ needed.,Positive
Maybe I'm wrong... and time and resources for development are safest and best healthiest placed on renewable resources production for thermal energy requirements.   Might be best... though seems as a director of mass and energy balance... whew... there is room for improvement in regards to waste management and recycling of all the materials for systems produced whether heat related or not.  I worry the thinking related to perpetuity and forever isn't well thought about in many of the current time range alive... and really needs to be considered for others in society for humanity for the future better.,Positive
refrigerant based heat exchangers that drive sterling engines.,Neutral
those rotpr sails look just like the new wind generators. some batteries and electric motors and it's done.,Positive
"It's nice to have this consensus about green environment, every effort is valid. Maybe we can have a hidrogen fuel ship with sailing in development soon.",Positive
"With advancements in manufacturing tech like robotics and 3D printing, I wonder if we'll start to see a drop off in global shipping. I also wonder if countries will make a sustained effort to shorten supply chains and reduce dependence on foreign markets.",Positive
"I'll throw this link out here while fresh in my mind: https://en.wikipedia.org/wiki/Atomic_battery   However, I still think the radioisotopic thermoelectric external combustion methods have to have without a doubt the most safest and energy efficient ways to produce energy.  Seems there is a gap with phase changes too and the phase change of a material can possibly be utilized to further improve the performance.  Whether a high pressure system or not... there must be a gap in the designs demonstrated or known to this day... and there must be more capabilities to further improve.  The high pressure external combustion engines must have scared some for some reason and maybe need to be looked at again.  Some days I wonder if there are secret submarines that aren't detailed publicly that use.",Negative
I don't understand why some ships don't use a giant parachute sail. They could save lots of money on fuel,Positive
Seems along the lines of nuclear power plants advances... water desalination needs to be integrated with those systems if they're not external combustion or possibly radioisotope thermoelectric generator's (RTG's).  Though I personally think the advancement of RTG's if akin to PV's isn't on par with the capabilities of radioisotope thermoelectric external combustion engines capabilities and proven performance.  Especially under high pressure like would be best suited underwater and underground.,Positive
Wing​sails​ have​ been​ used​ on​ yachts  for​ 60​ years​ and​ are​ well.unserstood.,Neutral
"Seems nuclear systems can be more safely contained and therefore... need to be designed like a global IoT system for monitoring deployed systems conditions to assure healthy and safe operations.   Seems nuts how advanced nuclear power plant systems have become... yet so degenerate how handling the systems has begun.  More recycling and I personally feel underground operations to process, store and control the lifecycle... other than when out and deployed above or underwater.",Positive
go for wind technologies,Neutral
"Hey Matt, what about pairing these wind turbines with huge heavy batteries and electric engines below deck. As long as the wind was blowing hard, you could top off your charge, if you got hit wilth calm, you could solar charge and keep on chugging along but so much quieter with far less emmisions and no amonia tank spill to worry about. Remember those graduated cylinder collapsing chrome camping cups? What if the towers collapsed, I think that would be vital during storms and they would not lie across the deck where cargo might go. Check out 2 Bit Davinci.",Neutral
Thank you.,Positive
If we want net zero we need to decrease trade and start making things locally.  A sailing ship would still need some other power because of the way manufacturing now doesn’t   warehouse a lot of inventory.. If you have a sailing ship sitting in doldrums factories that depend on on time delivery would have to shut down.... like the ships sitting in harbors now.,Positive
Why is this the first time I'm hearing about this?,Neutral
Your videos are always Interesting and informative! Good job.,Positive
......eco mining☹️,Neutral
Another great video.,Positive
"Why not just build a hydro electric power plant inside the ship, plenty of water around.",Neutral
"I'm enthused about the work probably being done by scientists all around the to keep improving our various understandings about using wind, solar, thermal and various chemicals and minerals to help us improve our ability to go to cleaner means of transportation, lighting and heating.",Positive
Really? Wind? At this point and age? Just put a freakin tokamak on the ship the amount of submarines out there and they dont follow the example.,Neutral
"Shipping companies should look into kit sails. They are more efficient than any other form of wind capture since the wind increases in average speed the higher one goes. 
Kits extract wind energy @100-150m above a ship and are guided around a figure of eight that pulls the vessel forwards. I assume that for open water this is the most optimal. In narrow areas like docks and waterways on uses an all electric battery and electric more setup. During open water sailing the battery pack can be used to power all the electrical systems and safety systems as well.
Kits are typically used for super yachts but do not see why they can not be used for merchant shipping.",Positive
Look into all technologies.,Neutral
Have you seen the size of engines and their fuel tanks on these big ships?  They are huge!  I simply can't believe that equivalent power electric engines and their batteries will take up more space - and they will certainly be less complex and require less maintenance.  Batteries would also be less polluting than fuel in the light of accidents/spillages.  Plus there's the almost constant opportunity to recharge the batteries from solar and wind enroute.  I find it very odd that shipping is always spoken about as the one source of CO2 that cannot be replaced with electrification - it's always seemed to me as the ideal means of transport to be electrified.,Positive
I was hoping you would at least mention sailcargo,Positive
"Matt I’m almost ready to unsubscribe from your channel. Not because your video are bad or paddling BS science but because of the habit of making most of   your title sound always like “is this gadget going to be the future of……” 
This kind of title always comes as a message to the “believers” that this is be the ticket to a future without pollution or global warming and it’s already here, when instead in most cases there are potential killers problems, which honestly you highlight. 
Please stop the click bite you don’t need them, this video could have been titled “wind power given a new shot for cargo ship propulsion “
Well I know, you follow the YouTube algorithm to click bites titles because it gives you more audience! At least say it more clearly in your video “don’t get excited yet, there is still a long way and maybe it will not happen !”
Don’t know how long I will resist the repulsion to click bites though!",Positive
"The more things change, the more they stay the same",Neutral
"Hi Matt, Anthropogenic C02 still has not been proven to be a cause of damaging climate change. Could you please produce a scientific paper showing empirical evidence for anthropogenic C02 causing Climate change? I agree ships do pollute but wind power will make shipping more dangerous out at sea and maneuvering in port unless a reduction can be made in the wind-driven device.",Negative
Wind powered ships…what a time to be alive,Positive
Cool,Positive
"An alternate to wind power is this new tech I'm working on, where you put a stick in the water, move it about a bit, and you can move.  Increase the number of sticks for additional power!",Positive
"Seems to me that at the very least the ships should be equipped to utilize wind on some routes. Otherwise it throwing away freely available energy. Same might be said for solar, but anyway.",Positive
your dad jokes better not blow ;),Positive
Wind may not the best but most definately the coolest! 8),Positive
What about nuclear   ???,Neutral
"Nice one, although I expected also information about kite-style sails and the option to run the Flettner rotors by the wind itself, or a small wind wheel.",Positive
"We still need hydrogen. This wind tech can improve efficiency of hydrogen ships, if it is used at all.",Positive
"Sails: ""You could not handle your own failure, so where did you end up? Back to me.""",Negative
"Weather mapping, Tow barges, sail and solar.
All of these things can be used to make shipping Slower but Green.
Slower ships mean more of them.
More ships means more jobs.
I see this as a win win.",Positive
More likely to be hydrogen but good that it is being thought about,Positive
I hope this topic gets big enough for Thunderfoot to absolutely destroy for the BS it is.,Negative
All cargo ships go radioactive,Neutral
Been there done that,Neutral
I am curious if a rotor sail could have a generator attached at the base to generate electric to power the electric ship engine/s?,Positive
I feel like every new green tech is just going back to how we did 500 years ago,Positive
"There is a good reason commercial shipping dropped wind power last century ...and that reason still applies.
The wind is unreliable and unpredictable, even non existant frequently.
Normal maritime shipping operations require predictable transit times, a missed docking shedule will cost serious moned and have a knock on effect on all subsequent sheduled transit locations....easily outweighing any fuel savings.
  It seems few people are aware of the financial implications  , ...and subsequent on cost to all goods transported,...of both increased shipping transit times , and ALL of the alternative fuel sources mentioned ..Hydrogen, Methanol, Ammonia, etc",Positive
"Because there are over 6,000 sunken ships with possibilities in many to be 10x worse than the Exxon Valdez (releasing stored oil…and since most of those wrecks were world wAr 2 wrecks and are deteriorating at basically the same rate. Think multiple Valdez spills at once).",Negative
Navy nuclear reactors have been used for decades.  I wonder why we don't use these in commercial ships.,Neutral
There is no one solution that fits all. All solutions need investigating as you never know when you may come upon something unexpected.,Positive
still going to need power for ships system wheres that coming from? wont be solar because there isnt the room. we need nuclear merchant fleets not this bullshit. and id love to know how this thing is going to load unload containers? because the masts wont fit under the cranes we already have and you have closed top on it...,Neutral
nuclear makes more sense for huge cargo ships,Positive
The tea and wool clippers were the greyhounds of the ocean. They ran essentially downwind following the ‘trade’ winds. Would love to see a cargo ship sailing upwind. Container ships generally carry a lot of empty containers one way which creates huge windage and requires a lot of power to overcome. Would also like to see whether masts would be fixed and at what height as a lot of ports would be height constrained.,Positive
Ahhh sail boats? Quick look. Another elephant in the room.,Neutral
Those big immovable flag looking things are going to be a problem in gales. So they look like non starter or is it a big joke. However in placid water areas they might be useful. But windy places they will be over pretty quick.,Positive
"01:47 ""náu Vitória"". I have yet to see one YT video with properly written Portuguese. One day...",Neutral
"if every thing that was ""the future"" or ""the next big stuff"" was actually that, we should already be living in andromeda with androids sucking our dicks. hard to take research seriously",Negative
That Roberto Carlos Free Kick reference =D https://www.youtube.com/watch?v=crKwlbwvr88,Positive
What is the cost reduction or fuel consumption per container since they would inevitably carry less containers per trip.  Either way. Cool technology.,Positive
"Your analogies are VERY flawed.  A clipper ship was likely less than 20% cargo to achieve those speeds.  Only expensive light cargo could use them and stay profitable.  If they cargo i that light and expensive it would likely be shipped by air and not by a boat.  Also those shipping routes had what are called the ""trade winds"" to massively increase the effectiveness of trade between the US and Europe.  Wind powered boats will cost far more to build, carry far less cargo, be slower on 99% of the trade routes, and be unreliable.  They would still need engines or pay for tugs to dock too and they could never negotiate a river or canal without help.  Cargo is shipped by boat because it is the cheapest form of transportation.  You will NEVER see wind/solar boats being more than a niche tiny maybe at best .1% of the shipping market... if not far less than even that.",Positive
"Kite technology has a lot of potential, could you do a video on that?",Neutral
I'm waiting on someone to come up with a electric Ekranoplan thats US built I would take one from Fl to Tx :),Positive
That should've been the way years ago!,Neutral
"I keep waiting for the solar fabrics they've been promising for years to hit mainstream uses.  If you are going to put a giant sail up might be nice to harvest some electricity while you are at it.  

There is that land surfer that they've tested that can go faster than the wind and blowing straight at it's back, and of course you can even head at an angle to the wind and go faster than the wind.  I know ocean currents are significantly slower, and of course you go faster going with the currents, but I wonder if there might be some ways to create water sails of sorts to magnify that a bit.",Positive
"10:55 ""green amonia can be produced using HYDROGEN FROM WATER ELECTROLYSIS and....""
uhm. If you have that you can as well just go with it and use a fuel cell instead of going another step to then burn it all now cant you?",Positive
Change your video name/clickbait @Matt. In 8 hours ur video got only 61K views. Youtube algorithm must have put it away from viewers for some reason.,Neutral
"What about kites. There are a number of companies already using kites and although they don’t replace the Diesel engines, they do make a significant cost saving.",Positive
Net Zero CO2 emissions are a FANTASY. The concept ignores volcanic activity and other natural sources.,Positive
Is north power wind turbine a good way to produce power?,Positive
"Why hasn't nuclear power for these super-massive cargo ships taken off as it has with, say, aircraft carriers for the military?",Neutral
"Nuclear reactors will power the large container ships in the future, 30 knots of speed no emissions, and they provide 60 MW of clean power to land while docked, in addition they would save billions in fuel.
Lots of details to work out but major organizations are working on it now.",Positive
"Don't need to think about ""blah blah blah"" do we?",Positive
"To assert that wind powered ships are faster is somewhat disingenuous.  Sailing ship water speed is highly dependent on the point of sail, broad reaching being usually the fastest.  However, the wind does not blow at a constant speed or direction which in combination with water currents greatly affects how long and what it costs to move from port to port.  In addition many ships need to move through waterways such as the Suez and Panama canals.  The use of such short cuts is  usually impractical under sail and rendered the clippers uncompetitive on the routes they were designed to work.
There was at least one experimental hybrid wind powered commrercial ship built around 1970's using rigid sails, in reaction to the OPEC induced oil crisis, the object being to reduce consumption of expensive fuel, I actually saw it once but cannot find any record of it.  I suspec it failed commercially as bunker fuel costs fell and carbon foot print wasn not an issue then.",Negative
"In 2001, I sailed from New York USA to Brest in France. I sailed aboard a full rig in mid-September to early November.
What surprised me was how often we had wine quiet. The route we sailed was supposed to be wind and current favorable for this period, but our speed was between 8 to 10 knots at best.
Skeptical of this solution. Even with modern technology. The Clipper class did not carry much load.",Positive
"The future of ships, may be the past",Neutral
